Timestamp,Energy_Usage,Temp_C,Humidity,Wind_Speed,Solar_Radiation,Day_of_Week,Hour,Holiday,Energy_Price,Weather_Condition,Electricity_Imports,Gas_Consumption,Industrial_Load,Residential_Load,Commercial_Load,Peak_Hours,Population,Avg_Household_Size,Median_Income,GDP,CPI,Inflation,Energy_Efficiency,Storage_Charge,Battery_Usage,Grid_Frequency,Carbon_Emissions,Competitor_Price,Outage_Flag
01-01-2022 00:00,1127,19.22670628,57.74939006,12.08473613,0.066489256,0,14,0,0.103927714,Clear,127,482,751,473,205,1,46426,2.860991387,62654,3.927626274,116,2.144956114,89.59833686,49,21,49.52925303,496,0.172018757,1
01-01-2022 01:00,1373,24.37395529,52.93108346,5.945631352,0.479855348,3,10,1,0.137304804,Clear,146,415,700,523,172,0,53854,2.705430773,62174,3.808156875,123,2.379322631,83.71702699,37,12,49.93715999,425,0.177382712,0
01-01-2022 02:00,1991,22.29097794,51.59015563,9.494669821,0.277894072,3,6,0,0.119133453,Rainy,116,497,718,496,160,0,45845,2.970971267,64777,3.289670895,106,2.292053466,87.84748765,42,20,49.99571077,464,0.153269985,0
01-01-2022 03:00,1765,15.21354381,50.88383649,10.67225882,0.378883215,0,23,1,0.138418477,Rainy,102,435,753,483,151,1,49288,2.843823062,60967,3.054248623,106,2.859095825,85.99743086,32,21,49.79334612,433,0.17007689,0
01-01-2022 04:00,1821,22.65132066,54.75581049,12.46015469,0.353959816,6,2,1,0.134345123,Cloudy,132,471,754,572,248,1,50264,3.433956646,68995,3.904980374,126,2.140136249,81.48814909,30,16,50.37335953,407,0.173085387,0
01-01-2022 05:00,1571,21.97292128,56.63874816,5.087639232,0.172316187,3,2,0,0.145288683,Rainy,120,454,863,440,235,1,50544,2.654430404,63996,3.368441121,119,2.713315367,82.24659974,34,17,50.2369914,411,0.170836869,1
01-01-2022 06:00,1174,19.92436778,51.87296772,8.307151307,0.233668706,5,20,1,0.13135028,Clear,144,415,874,487,179,1,53591,2.555711103,66981,3.214819042,115,2.945134592,89.27198059,34,18,50.38880116,414,0.15071962,1
01-01-2022 07:00,1797,20.07093383,57.43573504,14.56541953,0.008986845,6,6,1,0.106888143,Rainy,147,453,822,479,155,0,46221,3.413557357,67598,3.346556511,105,2.565959573,85.5092455,46,12,49.50606161,403,0.141710708,0
01-01-2022 08:00,1634,20.31474988,54.61421581,13.52222966,0.468858766,1,20,0,0.180373893,Clear,147,473,735,509,219,0,52028,3.214058844,63809,3.57280667,110,2.551239405,89.45338393,47,21,50.25994682,455,0.142674126,1
01-01-2022 09:00,1034,15.75762056,57.22886467,12.36724345,0.208809467,1,12,0,0.121443721,Cloudy,120,489,795,516,196,1,53212,2.910449267,68319,3.812324969,123,2.875209047,88.01256789,46,12,49.83067944,458,0.142359733,1
